year,month,month_name,total_flights,unique_aircraft,avg_daily_flights,avg_daily_unique_aircraft,days_in_month
2019,1,January,2145469,68876,69208.67741935483,24387.1935483871,31
2019,2,February,2005958,68798,71641.35714285714,25029.821428571428,28
2019,3,March,2283154,74362,73650.12903225806,25698.16129032258,31
2019,4,April,2375102,76298,79170.06666666667,26959.266666666666,30
2019,5,May,2539167,79547,81908.6129032258,27628.709677419356,31
2019,6,June,2660560,82877,88685.33333333333,29819.233333333334,30
2019,7,July,2898088,86383,93486.70967741935,31191.387096774193,31
2019,8,August,2989720,89775,96442.58064516129,32260.645161290322,31
2019,9,September,2874623,91039,95820.76666666666,32234.666666666668,30
2019,10,October,2946405,92447,95045.32258064517,32103.709677419356,31
2019,11,November,2721437,92003,90714.56666666667,31428.1,30
2019,12,December,2778404,92612,89625.93548387097,30881.774193548386,31
