day,unique_icao24_count
2019-01-01,20544
2019-01-02,23895
2019-01-03,24510
2019-01-04,25776
2019-01-05,24919
2019-01-06,23881
2019-01-07,23560
2019-01-08,23955
2019-01-09,24433
2019-01-10,25157
2019-01-11,25039
2019-01-12,22884
2019-01-13,22637
2019-01-14,23411
2019-01-15,23450
2019-01-16,24052
2019-01-17,24613
2019-01-18,24592
2019-01-19,22848
2019-01-20,22828
2019-01-21,24892
2019-01-22,24972
2019-01-23,24911
2019-01-24,25697
2019-01-25,27243
2019-01-26,25426
2019-01-27,24741
2019-01-28,24978
2019-01-29,25226
2019-01-30,25405
2019-01-31,25528
