year,month,month_name,total_flights,unique_aircraft,avg_daily_flights,avg_daily_unique_aircraft,days_in_month
2020,1,January,2734791,90821,88219.06451612903,30860.290322580644,31
2020,2,February,2648835,97931,91339.13793103448,31772.241379310344,29
2020,3,March,2152157,94631,69424.41935483871,25451.064516129034,31
2020,4,April,842905,74257,28096.833333333332,13913.666666666666,30
2020,5,May,1088267,89721,35105.3870967742,17689.483870967742,31
2020,6,June,1444224,98747,48140.8,22766.2,30
2020,7,July,1905528,100098,61468.645161290326,26294.74193548387,31
2020,8,August,2042034,100375,65872.06451612903,27246.064516129034,31
2020,9,September,1930862,101236,64362.066666666666,27446.466666666667,30
2020,10,October,1985131,105339,64036.48387096774,27738.1935483871,31
2020,11,November,1825000,101494,60833.333333333336,26567.8,30
2020,12,December,1894736,98986,61120.51612903226,26096.612903225807,31
