day,unique_icao24_count
2020-04-01,15646
2020-04-02,14687
2020-04-03,14349
2020-04-04,13011
2020-04-05,12172
2020-04-06,12993
2020-04-07,13963
2020-04-08,14169
2020-04-09,12999
2020-04-10,13552
2020-04-11,13592
2020-04-12,10077
2020-04-13,10731
2020-04-14,14453
2020-04-15,15060
2020-04-16,14806
2020-04-17,14240
2020-04-18,12227
2020-04-19,12726
2020-04-20,13435
2020-04-21,14372
2020-04-22,15136
2020-04-23,14940
2020-04-24,14877
2020-04-25,15069
2020-04-26,13764
2020-04-27,14801
2020-04-28,15931
2020-04-29,14559
2020-04-30,15073
