year,month,month_name,total_flights,unique_aircraft,avg_daily_flights,avg_daily_unique_aircraft,days_in_month
2022,1,January,2410559,107842,77759.96774193548,30939.1935483871,31
2022,2,February,2319568,108561,82841.71428571429,32790.25,28
2022,3,March,2773302,116176,89461.35483870968,34182.54838709677,31
2022,4,April,2829102,116612,94303.4,34699.0,30
2022,5,May,3044664,119036,98214.96774193548,35592.54838709677,31
2022,6,June,3174237,121475,105807.9,37824.9,30
2022,7,July,3267859,122516,105414.80645161291,37610.54838709677,31
2022,8,August,3270098,122160,105487.03225806452,37602.06451612903,31
2022,9,September,3115801,121981,103860.03333333334,37432.26666666667,30
2022,10,October,3186324,123170,102784.64516129032,37162.58064516129,31
2022,11,November,2840909,115448,94696.96666666666,34786.36666666667,30
2022,12,December,2669344,109553,86107.87096774194,31513.870967741936,31
